nombre;descripcion;estrellas;ciudad;pais;lat;lon;chef;tipo_cocina_1
ARTEST - Chef's Table;Artest was created by Arkady Novikov, who already owns dozens;2;Moscow;Russia;55.7544209;37.586567;Artem Estafiev;Creative
Savva;Tradition and modernity, from the interior design to the dishes;1;Moscow;Russia;55.7584141;37.6211851;Andrei Shmakov;Russian
Twins Garden;Chefs Sergey and Ivan Berezutsky, twin brothers, have changed the;2;Moscow;Russia;55.7662087;37.610512;Ivan and Sergey Berezutskie;Creative
Sakhalin;If there was only one rooftop to visit, this would;1;Moscow;Russia;55.7461681;37.5801943;Alexey Kogay;Seafood
Grand Cru;Located near the Patriarch’s Ponds, this upmarket district of;1;Moscow;Russia;55.7630244;37.5949419;David Hemmerlé;Modern Cuisine
Beluga;The most delicious caviar in the world shines on stage;1;Moscow;Russia;55.7566428;37.6139952;Evgeny Vikentiev;Russian
Biologie;This pretty timber building in a chic, leafy suburb of;1;Moscow;Russia;55.7611461;37.2432471;Ekaterina Alehina;Modern Cuisine
Selfie;Welcome to the world of the talented chef Anatoliy Kazakov;1;Moscow;Russia;55.7580129;37.5832356;Anatoliy Kazakov;Modern Cuisine
White Rabbit;Located at the top of a commercial center on Smolenskaya;1;Moscow;Russia;55.7474698;37.5818813;Vladimir Mukhin;Creative
