nombre;descripcion;estrellas;ciudad;pais;lat;lon;chef;tipo_cocina_1
CTC;CTC’s move to a new location means that it;1;Athens;Greece;37.9804964;23.7168694;;Modern Cuisine
Hytra;Once the sun goes down, they fold back the roof;1;Athens;Greece;37.9580881;23.7189944;Anastasios Mantis;Modern Cuisine
Spondi;Spondi sits just off a small, bustling Square behind the;2;Athens;Greece;37.9653138;23.7431159;Angelos Lantos;French
Botrini's;Ask for a spot in the romantic garden of this;1;Athens;Greece;38.0232617;23.7936937;Ettore Botrini;Mediterranean Cuisine
Varoulko Seaside;This lively, bustling restaurant sits in a great spot on;1;Athens;Greece;37.9373787;23.6585274;Lefteris Lazarou;Seafood
Pelagos;‘Ocean’ is a fitting name for this hotel restaurant;1;Athens;Greece;37.8058168;23.7722339;;Seafood
